大类	测试用例	要求		
采集	数据采集	支持Android、iOS、Web、小程序等的无埋点数据采集。
		可多版本对比崩溃情况，评估版本迭代质量。可对各个版本崩溃的修复情况进行管理。
	卡顿分析	支持查看卡顿次数、卡顿率、卡顿影响用户、卡顿会话等关键指标。
		支持查看卡顿现场的堆栈信息（可对原始堆栈进行解析，更易读）、设备信息、现场信息、用户行为、系统日志、自定义信息。进行异常溯源，方便定位问题代码行。
		可多版本对比卡顿情况，评估版本迭代质量。可对各个版本卡顿的修复情况进行管理。
	ANR分析	支持查看ANR次数、ANR率、ANR影响用户、ANR会话等关键指标
		支持查看ANR现场的堆栈信息（可对原始堆栈进行解析，更易读）、设备信息、现场信息、用户行为、系统日志、自定义信息、ANRTrace、ANR Message。
		可多版本对比卡顿情况，评估版本迭代质量。可对各个版本ANR的修复情况进行管理。
	启动分析	支持查看启动时间、启动性能分解、地域分析、异常启动统计和追踪、慢启动APP版本、设备型号、操作系统等信息
		支持对应用启动耗时进行拆解，分为：系统准备、应用准备、视图加载、交互准备四个阶段。
	页面性能分析	支持按域名、路径、参数、错误码、地区、运营商和网络接入方式等维度分析页面加载的体验。支持查看慢可交互占比、慢首屏占比、打开次数、可交互时间、首屏时间，
		支持对页面加载进行拆解，便于分析在哪个阶段耗时最长。支持的指标包括DNS解析，TCP建连，阻塞耗时，应用耗时，首包时间，网络耗时，DOM处理，页面渲染，总响应时间（从开始浏览计时），首次渲染时间（从开始浏览计时）
		支持受访页面列表排序，提供当前应用系统页面加载耗时最长的页面列表，可按照设备、操作系统等筛选
	网络请求分析	支持查看网络请求的请求次数、每分钟请求次数、错误率、响应时间等关键指标。
		支持对请求耗时进行拆解，便于分析哪个阶段耗时长，分为：DNS、TCP、SSL、服务器响应、接收耗时。
	用户体验分析	支持页面白屏、慢加载、首屏、异常会话、网络请求、耗时等指标进行用户体验分析
		支持监控页面中的可交互操作（可点击的按钮、文字、图片、链接等）的用户体验，包括操作名称、操作可用性、操作次数、所属页面、操作耗时、慢操作占比、卡顿占比、崩溃操作占比等指标
		支持追踪页面中的异常操作（失败操作和慢操作），提供用户轨迹和请求瀑布图
	自定义上送	支持自定义上送事件：包含自定义三方异常、接口事件、操作事件等
	用户溯源分析	支持完整还原用户从打开应用到退出应用的全过程，记录了用户的行为和应用的执行情况（包括：针对该用户的应用启动、页面加载、网络请求、崩溃、ANR、JS错误等）用户行为包含：客户请求的具体页面，操作的具体事件，如进入某页面点击按钮事件等详细操作
监控告警	故障屏蔽	支持配置屏蔽规则，屏蔽某些时间段发现的故障，屏蔽故障信息满足某些规则的故障。
	告警通知	支持配置故障响应动作，可通过邮件、短信、电话、钉钉等方式发出故障告警通知。
	故障分析	支持对整个系统的故障情况进行分析，包括收敛比、故障等级分布、MTTR
		支持故障回放，还原根因定位的过程，还原故障的传导链。
	监控规则配置	支持通过灵活的匹配条件来控制哪些对象要监控，哪些不监控。包括：客户端应用、版本、URL等。
	自定义异常检测	支持自定义事件监控：支持自定义单指标、多指标的异常检测
	阈值设置	支持配置慢接口、慢SQL、慢请求、应用慢启动、视图慢启动、页面慢加载、慢方法的检测阈值
数据分析	自定义卡片	支持自定义指标可观测数据的可视化，如：数值卡片、趋势图、分布图、饼图环图、列表等。
	数据查询	支持对指标、日志、trace、事件、实体进行关联下钻查询（现阶段只接入前端）。
		支持跨源跨平台数据的统一联邦查询（如在APP中嵌入的Web页面可统一进行查询）。
	指标分析	可通过多指标对数据进行分析，包括客户端用户体验,如：JS错误、socket请求、单页、能耗、启动性能、视图、网络请求、页面、用户操作、用户会话、原生应用（崩溃、卡顿、ANR、自定义异常）
		支持不同版本指标分析、TOP5事件分析
	数据导出	支持自定义事件数据筛选后导出平台
性能	程序性能分析	引入SDK、JS探针后，对APP、WEB、小程序应用程序的性能影响
